keyword,cluster,est_volume,intent,cv_distance,difficulty,ai_risk,priority_rank,note
保育士 平均年収 2026,C3_給料・年収・処遇改善,"1,000",Know,C,High,高,,推定/根拠:平均年収約427万円（各社2026年集計）。数値のみは食われる
保育士 初任給,C3_給料・年収・処遇改善,"1,000",Know,C,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 ボーナス 何ヶ月,C3_給料・年収・処遇改善,500,Know,C,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 給料 20代,C3_給料・年収・処遇改善,500,Know,C,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 給料 30代,C3_給料・年収・処遇改善,500,Know,C,Mid,高,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 給料 40代,C3_給料・年収・処遇改善,100,Know,C,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 給料 高い 園 特徴,C3_給料・年収・処遇改善,100,Know,A,Low,低,35,推定/根拠:『どの園が高いか』は意思決定型。園の原資構造を園長が説明できる【P2重点:30代・経験5年以上・失敗回避層】
保育士 年収 上げる方法,C3_給料・年収・処遇改善,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 年収400万 可能,C3_給料・年収・処遇改善,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 処遇改善手当,C3_給料・年収・処遇改善,"1,000",Know,B,Mid,高,,推定/根拠:副主任4万円/職務分野別リーダー5千円の制度数値。事実部分はAI要約されやすい
保育士 処遇改善手当 いくら,C3_給料・年収・処遇改善,500,Know,B,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
処遇改善等加算3 わかりやすく,C3_給料・年収・処遇改善,500,Know,C,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 処遇改善手当 もらえない,C3_給料・年収・処遇改善,100,Know,A,Low,低,36,推定/根拠:加算は園に入るが配分は園裁量。園長が配分実務を開示できる＝完全な独自性【P2重点:30代・経験5年以上・失敗回避層】
保育士 処遇改善 配分 園によって違う,C3_給料・年収・処遇改善,50,Know,A,Low,低,37,推定/根拠:配分ルールの園差は求職者が最も知りたいのに誰も書いていない【P2重点:30代・経験5年以上・失敗回避層】
保育士 賃上げ 2026,C3_給料・年収・処遇改善,500,Know,C,Mid,高,,推定/根拠:2026年度5.3%賃上げ/2024年度10.7%引き上げが各社で言及
保育士 給料 上がる いつ,C3_給料・年収・処遇改善,100,Know,C,Low,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 家賃補助,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 借り上げ社宅 制度,C3_給料・年収・処遇改善,500,Know,A,Mid,中,38,推定/根拠:求人選定の決め手になりCVに近い。自治体別の条件差が大きい【P2重点:30代・経験5年以上・失敗回避層】
保育士 宿舎借り上げ支援事業 2026,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 借り上げ社宅 なくなる,C3_給料・年収・処遇改善,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 退職金 相場,C3_給料・年収・処遇改善,500,Know,C,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 福利厚生 比較,C3_給料・年収・処遇改善,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 昇給 平均,C3_給料・年収・処遇改善,100,Know,C,Low,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
公立保育士 給料,C3_給料・年収・処遇改善,500,Know,B,Mid,高,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 公立 私立 給料 違い,C3_給料・年収・処遇改善,500,Know,B,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 派遣 時給 相場,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,"推定/根拠:東京都の単発平均時給1,413円等の実データが流通"
保育士 パート 時給 相場,C3_給料・年収・処遇改善,500,Know,A,Mid,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 夜勤 手当 相場,C3_給料・年収・処遇改善,100,Know,A,Low,中,,推定/根拠:条件系の定番KW。大手専門メディアが上位独占
保育士 転職 年収ダウン 防ぐ,C3_給料・年収・処遇改善,50,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 派遣,C4_働き方・雇用形態・施設タイプ,"5,000",Buy,A,High,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 派遣 デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,30,推定/根拠:意思決定直前KW。派遣会社CVに直結しAI耐性も高い【P2重点:30代・経験5年以上・失敗回避層】
保育士 派遣 メリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 派遣 現実,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 派遣 3年ルール,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 パート 扶養内,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 パート 志望動機,C4_働き方・雇用形態・施設タイプ,500,Do,B,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 単発バイト,C4_働き方・雇用形態・施設タイプ,"1,000",Buy,A,Mid,低,,推定/根拠:バイトル/Indeedが上位。記事は『実態・時給・注意点』で隙間狙い
保育士 スポット求人 とは,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 日払い 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 副業 おすすめ,C4_働き方・雇用形態・施設タイプ,500,Know,B,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 在宅ワーク,C4_働き方・雇用形態・施設タイプ,100,Know,C,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 フリーランス,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 夜勤 ある園,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
夜間保育園 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
企業内保育 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,28,推定/根拠:大手が仕事内容・給料・メリデメを網羅済みだが体験談の層が薄い【P2重点:30代・経験5年以上・失敗回避層】
企業内保育 給料,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,中,25,推定/根拠:『認可より高い場合もある』との記述が複数。実額比較は空白【P2重点:30代・経験5年以上・失敗回避層】
企業内保育所 デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,24,推定/根拠:休みにくい/キャリアが積めない等の実務論点。比較検討層に直撃【P2重点:30代・経験5年以上・失敗回避層】
企業主導型保育園 とは,C4_働き方・雇用形態・施設タイプ,500,Know,C,Mid,高,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
企業主導型保育園 働く 評判,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
院内保育 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,27,【P2重点:30代・経験5年以上・失敗回避層】
院内保育 きつい,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,26,推定/根拠:夜勤・少人数体制の実態。体験談型でAI耐性が高い【P2重点:30代・経験5年以上・失敗回避層】
院内保育 給料,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,中,,【P2重点:30代・経験5年以上・失敗回避層】
病児保育 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
小規模保育園 メリット デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,23,推定/根拠:0-2歳特化・行事が少ない＝負担軽減志向の受け皿。P2の最頻出比較軸【P2重点:30代・経験5年以上・失敗回避層】
小規模保育園 保育士 メリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】
小規模保育園 デメリット,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】
認可外保育園 保育士 働く,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
認可保育園 認可外 違い 働く側,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
認証保育所 とは 東京,C4_働き方・雇用形態・施設タイプ,100,Know,C,Low,高,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
認定こども園 保育士 大変,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,29,【P2重点:30代・経験5年以上・失敗回避層】
公立保育園 保育士 なるには,C4_働き方・雇用形態・施設タイプ,500,Know,B,Mid,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
公務員保育士 試験 難易度,C4_働き方・雇用形態・施設タイプ,500,Know,C,Mid,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
公務員保育士 年齢制限,C4_働き方・雇用形態・施設タイプ,500,Know,C,Mid,高,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
学童保育 指導員 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
児童発達支援 保育士 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,,推定/根拠:児発・放デイは求人拡大領域。保育士資格の受け皿として伸長【P2重点:30代・経験5年以上・失敗回避層】
放課後等デイサービス 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】
児童養護施設 保育士,C4_働き方・雇用形態・施設タイプ,500,Know,B,Mid,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
乳児院 保育士 仕事内容,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
障害児保育 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
インターナショナルスクール 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
英語 使える 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育補助 仕事内容,C4_働き方・雇用形態・施設タイプ,"1,000",Know,B,Mid,高,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育補助 無資格 きつい,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
ベビーシッター 保育士 資格,C4_働き方・雇用形態・施設タイプ,500,Know,A,Mid,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
ベビーシッター 個人 稼げる,C4_働き方・雇用形態・施設タイプ,100,Know,B,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
家庭的保育 保育ママ なるには,C4_働き方・雇用形態・施設タイプ,100,Know,C,Low,中,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
託児所 保育士 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 リゾートバイト,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 住み込み 求人,C4_働き方・雇用形態・施設タイプ,50,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 週3 求人,C4_働き方・雇用形態・施設タイプ,100,Buy,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 土日休み 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,32,推定/根拠:条件×求人。土日休み志向は強い転職動機でCVに直結【P2重点:30代・経験5年以上・失敗回避層】
保育士 残業なし 求人,C4_働き方・雇用形態・施設タイプ,500,Buy,A,Mid,低,31,【P2重点:30代・経験5年以上・失敗回避層】
保育士 持ち帰りなし 園 探し方,C4_働き方・雇用形態・施設タイプ,100,Do,A,Low,低,33,推定/根拠:『探し方』＝手順型でAI耐性高。園長が実態から判別基準を出せる【P2重点:30代・経験5年以上・失敗回避層】
保育士 行事 少ない 園,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 ゆるい 園 特徴,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 人間関係 良い 園 見分け方,C4_働き方・雇用形態・施設タイプ,100,Know,A,Low,低,34,推定/根拠:採用側が知る『人間関係が壊れる園の構造』で独自性【P2重点:30代・経験5年以上・失敗回避層】
フリー保育士 とは,C4_働き方・雇用形態・施設タイプ,100,Know,C,Low,高,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 0歳児クラス 大変,C4_働き方・雇用形態・施設タイプ,100,Know,C,Low,低,,推定/根拠:雇用形態・施設タイプ軸。求人DBページと記事が混在するSERP
保育士 転職,C5_転職ノウハウ（計画・手続き）,"10,000",Know,B,High,低,,推定/根拠:ビッグKW。6ヶ月では非現実的だがピラーページのハブとして設置
保育士 転職 流れ,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 進め方,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 タイミング,C5_転職ノウハウ（計画・手続き）,"1,000",Know,B,Mid,低,16,推定/根拠:『何月がベストか』は意思決定型。採用側の採用計画カレンダーで上書きできる【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 時期 おすすめ,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,中,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 年度途中,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 何月から動く,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,低,22,推定/根拠:園の採用は秋と年度末に山。決裁者しか書けない時期論【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 スケジュール,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 働きながら,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 失敗,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,14,推定/根拠:失敗回避が最大の検索動機。体験談型でAI耐性高【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 後悔,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,15,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 回数 多い 不利,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,17,推定/根拠:採用側の許容ラインを開示できる。園長監修の独自性が直撃【P2重点:30代・経験5年以上・失敗回避層】
保育士 短期離職 次の転職,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 リスク,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 条件 優先順位,C5_転職ノウハウ（計画・手続き）,50,Know,A,Low,低,19,推定/根拠:条件の取捨選択フレーム。P2の意思決定を直接支援する【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 決め手,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 見極め ポイント,C5_転職ノウハウ（計画・手続き）,50,Know,A,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 30代 転職,C5_転職ノウハウ（計画・手続き）,500,Know,B,Mid,低,21,【P2重点:30代・経験5年以上・失敗回避層】
保育士 経験5年 転職,C5_転職ノウハウ（計画・手続き）,50,Know,A,Low,低,20,推定/根拠:P2ど真ん中。経験年数の市場価値を採用側が評価する形で書ける【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 2回目,C5_転職ノウハウ（計画・手続き）,50,Know,B,Low,低,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 転職 ピアノ 弾けない,C5_転職ノウハウ（計画・手続き）,100,Know,A,Low,低,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 必要書類,C5_転職ノウハウ（計画・手続き）,100,Know,C,Low,高,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 有給消化,C5_転職ノウハウ（計画・手続き）,100,Know,B,Low,中,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 失業保険,C5_転職ノウハウ（計画・手続き）,500,Know,C,Mid,高,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 源泉徴収票,C5_転職ノウハウ（計画・手続き）,50,Know,C,Low,高,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士 転職 保育士証 提出,C5_転職ノウハウ（計画・手続き）,50,Do,C,Low,高,,推定/根拠:ノウハウ系。SERPは専門メディア＋養成校
保育士資格 取り方,C6_資格・キャリアアップ,"5,000",Know,C,High,高,,推定/根拠:資格スクール（ユーキャン等）が独占。転職意図とズレるため優先度低
保育士試験 難易度,C6_資格・キャリアアップ,"5,000",Know,C,High,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 資格 独学,C6_資格・キャリアアップ,"1,000",Know,C,High,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 登録 手続き,C6_資格・キャリアアップ,"1,000",Do,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士証 再発行,C6_資格・キャリアアップ,500,Do,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
幼稚園教諭 保育士 違い,C6_資格・キャリアアップ,"5,000",Know,C,High,高,,推定/根拠:定義比較型＝AI Overviews直撃。定義・指標系はCTR31〜35%帯に低迷
保育教諭 とは,C6_資格・キャリアアップ,"1,000",Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
幼保特例制度 2026,C6_資格・キャリアアップ,500,Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
幼稚園教諭 から 保育士 転職,C6_資格・キャリアアップ,500,Know,A,Mid,低,,推定/根拠:資格保有者の横移動。CV意図が明確で競合は薄い
保育士 から 幼稚園教諭 転職,C6_資格・キャリアアップ,100,Know,A,Low,低,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 キャリアアップ研修,C6_資格・キャリアアップ,"5,000",Know,C,High,高,,推定/根拠:制度解説型。自治体公式（東京都等）が上位でAIにも要約されやすい
キャリアアップ研修 受けないとどうなる,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
キャリアアップ研修 転職したら 引き継げる,C6_資格・キャリアアップ,100,Know,A,Low,低,,推定/根拠:修了の持ち運び可否は実務論点。園長が加算実務から断定できる【P2重点:30代・経験5年以上・失敗回避層】
副主任保育士 とは,C6_資格・キャリアアップ,500,Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
専門リーダー 保育士 要件,C6_資格・キャリアアップ,500,Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
職務分野別リーダー とは,C6_資格・キャリアアップ,500,Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
主任保育士 なるには,C6_資格・キャリアアップ,500,Know,B,Mid,中,,【P2重点:30代・経験5年以上・失敗回避層】
主任保育士 給料,C6_資格・キャリアアップ,500,Know,B,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育園 園長 なるには,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:園長本人が書ける最大の当事者性KW。指名検索・信頼獲得の柱
保育士 キャリアパス 例,C6_資格・キャリアアップ,100,Know,B,Low,中,,【P2重点:30代・経験5年以上・失敗回避層】
保育士 資格 活かせる仕事,C6_資格・キャリアアップ,"5,000",Know,B,High,中,,推定/根拠:『21〜25選』型の網羅記事が大手に多数。単純網羅では勝てない
保育士 取っておくと良い資格,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
絵本専門士 とは,C6_資格・キャリアアップ,500,Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
病児保育専門士,C6_資格・キャリアアップ,100,Know,C,Low,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
チャイルドマインダー 意味ない,C6_資格・キャリアアップ,100,Know,B,Low,低,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
モンテッソーリ 資格 保育士,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 英語 資格 転職,C6_資格・キャリアアップ,100,Know,A,Low,低,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 独立 開業,C6_資格・キャリアアップ,500,Know,B,Mid,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 スキルアップ 方法,C6_資格・キャリアアップ,100,Know,C,Low,中,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
子育て支援員 保育士 違い,C6_資格・キャリアアップ,500,Know,C,Mid,高,,推定/根拠:資格系は受験者流入も混在。転職意図との分離が必要
保育士 求人 東京,C7_地域KW,"10,000",Buy,A,High,低,,推定/根拠:Indeed・大手求人DBが上位独占。記事型では上位困難
保育士 転職 東京,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 大阪,C7_地域KW,"5,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 名古屋,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 横浜,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 埼玉,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 千葉,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 福岡,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 札幌,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 神戸,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 京都,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 広島,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 仙台,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 静岡,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 新潟,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 岡山,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 熊本,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 沖縄,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 世田谷区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:市区町村×求人はDBが強いが『区ごとの補助制度・配置事情』記事なら勝機
保育士 求人 江戸川区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 練馬区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 足立区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 杉並区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 港区,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 川崎市,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 さいたま市,C7_地域KW,500,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 船橋市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 八王子市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 大阪市,C7_地域KW,"1,000",Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 堺市,C7_地域KW,100,Buy,A,Mid,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
保育士 求人 名古屋市,C7_地域KW,500,Buy,A,High,低,,推定/根拠:求人DB（Indeed/大手）が上位独占。記事単体では勝ちにくい
